# Linux: 5.15.0
# OpenWrt: 23.05
# Generated: 2026-04-25T18:44:51Z

driver,chips
drivers/net/dsa/b53/b53_common.c,BCM63xx; BCM583xx/11360; BCM585xx/586xx/88312; BCM4908; BCM5325; BCM5365; BCM5389; BCM5395; BCM5397; BCM5398; BCM7278; BCM7445; BCM53010; BCM53011; BCM53012; BCM53018; BCM53019; BCM53115; BCM53125; BCM53128
drivers/net/dsa/bcm_sf2.c,BCM4908; BCM7278; BCM7278-SWITCH-V4.0; BCM7278-SWITCH-V4.8; BCM7445; BCM7445-SWITCH-V4.0
drivers/net/dsa/dsa_loop.c,
drivers/net/dsa/hirschmann/hellcreek.c,HELLCREEK-DE1SOC-R1
drivers/net/dsa/lan9303-core.c,LAN9303
drivers/net/dsa/lantiq_gswip.c,XRX200-GPHY-FW; XRX200-GSWIP; XRX200A1X-GPHY-FW; XRX200A2X-GPHY-FW; XRX300-GPHY-FW; XRX300-GSWIP; XRX330-GPHY-FW; XRX330-GSWIP
drivers/net/dsa/microchip/ksz8795.c,KSZ8765; KSZ8794; KSZ8795; KSZ8863/KSZ8873
drivers/net/dsa/microchip/ksz9477.c,KSZ9477; KSZ9567; KSZ9893; KSZ9897
drivers/net/dsa/mt7530.c,MT7530; MT7531; MT7621
drivers/net/dsa/mv88e6060.c,MV88E6060
drivers/net/dsa/mv88e6xxx/chip.c,Marvell 88E6085; Marvell 88E6095/88E6095F; Marvell 88E6097/88E6097F; Marvell 88E6123; Marvell 88E6131; Marvell 88E6141; Marvell 88E6161; Marvell 88E6165; Marvell 88E6171; Marvell 88E6172; Marvell 88E6175; Marvell 88E6176; Marvell 88E6185; Marvell 88E6190; Marvell 88E6190X; Marvell 88E6191; Marvell 88E6191X; Marvell 88E6193X; Marvell 88E6220; Marvell 88E6240; Marvell 88E6250; Marvell 88E6290; Marvell 88E6320; Marvell 88E6321; Marvell 88E6341; Marvell 88E6350; Marvell 88E6351; Marvell 88E6352; Marvell 88E6390; Marvell 88E6390X; Marvell 88E6393X
drivers/net/dsa/ocelot/felix.c,VSC9953; VSC9959
drivers/net/dsa/qca/ar9331.c,AR9331
drivers/net/dsa/qca8k.c,QCA8327; QCA8334; QCA8337
drivers/net/dsa/rtl8366rb.c,RTL8366RB
drivers/net/dsa/sja1105/sja1105_main.c,SJA1105-SIZE; SJA1105E; SJA1105P; SJA1105Q; SJA1105R; SJA1105S; SJA1105T; SJA1110; SJA1110A; SJA1110B; SJA1110C; SJA1110D
drivers/net/dsa/vitesse-vsc73xx-core.c,VSC7385; VSC7388; VSC7395; VSC7398
drivers/net/dsa/xrs700x/xrs700x.c,XRS700X; XRS7003E; XRS7003F; XRS7004E; XRS7004F
openwrt:drivers/net/dsa/lantiq_gswip.c,XRX200-GPHY-FW; XRX200-GSWIP; XRX200A1X-GPHY-FW; XRX200A2X-GPHY-FW; XRX300-GPHY-FW; XRX300-GSWIP; XRX330-GPHY-FW; XRX330-GSWIP
openwrt:drivers/net/dsa/mt7530.c,MT7530; MT7531; MT7621
openwrt:drivers/net/dsa/qca/qca8k-8xxx.c,QCA8327; QCA8328; QCA8334; QCA8337
openwrt:drivers/net/dsa/qca/qca8k.c,QCA8327; QCA8328; QCA8334; QCA8337
openwrt:drivers/net/dsa/qca8k.c,QCA8327; QCA8328; QCA8334; QCA8337
openwrt:drivers/net/dsa/rtl8366rb.c,RTL8366RB
openwrt:drivers/net/dsa/rtl83xx/dsa.c,RTL8380; RTL8390; RTL9300; RTL9310
